disease,symptoms,cures,doctor,risk level
cancer,"lump,unexplained weight loss,fatigue,changes in bowel,bladder habits,persistent cough,indigestion,unexplained bleeding or discharge","surgery,chemotherapy,radiation therapy",oncologist,varies depending on the type of cancer%
cervical cancer,"abnormal pap test results,abnormal vaginal bleeding,pain during sex","surgery,chemotherapy,radiation therapy",gynecologist,high (70%)%
chickenpox,"rash,fever,headache,muscle aches,fatigue","antiviral medication,over-the-counter medications,rest,fluids","family doctor,urgent care",low (0.1%)%
chronic obstructive pulmonary disease (copd),"chronic bronchitis,emphysema","treatment for copd may include medication,lifestyle changes,oxygen therapy",pulmonologist,varies depending on the type of copd %
cholesterol,high levels of cholesterol in the blood,"diet,exercise,medication",cardiologist,varies depending on the level of cholesterol%
common cold,"runny nose,sneezing,sore throat,cough,congestion","over-the-counter medications,rest,fluids","family doctor,urgent care",low (0.1%)%
conjunctivitis,"red,itchy,watery eyes","over-the-counter medications,warm compresses","family doctor,ophthalmologist",low (0.1%)%
depression ,"sadness,hopelessness,loss of interest in activities,changes in appetite,sleep,energy levels","treatment for depression may include medication,therapy,combination of both","psychologist,psychiatrist",varies%
diabetes,"increased thirst,frequent urination,unexplained weight loss,fatigue,blurred vision,cuts that are slow to heal","diet,exercise,medication",endocrinologist,high (25%)%
diarrhea,"loose,watery stools","over-the-counter medications,rest,fluids","family doctor,urgent care",low (0.1%)%
eating disorder,disturbance in eating behavior that can lead to serious health problems,"treatment for eating disorders may include therapy,medication,support groups","psychologist,psychiatrist",varies depending on the type of eating disorder%
epilepsy,seizures,"medication,surgery", neurologist ,varies depending on the type of epilepsy%
fever,elevated body temperature ,"over-the-counter medications,rest,fluids","family doctor,urgent care",low (0.1%)%
food poisoning,"nausea,vomiting,diarrhea,abdominal cramps","over-the-counter medications,rest,fluids","family doctor,urgent care",low (0.1%)%
gallstones,"pain in the upper right abdomen,nausea,vomiting,fever",surgery,surgeon ,high (20%)%
gonorrhea,"sexually transmitted infection that can cause burning during urination,discharge from the penis or vagina,pain in the lower abdomen",antibiotics,"urologist,gynecologist",high (70%)%
heart disease,"chest pain,shortness of breath,fatigue,dizziness,fainting","treatment for heart disease may include medication,lifestyle changes,surgery",cardiologist,high (20%)%
hepatitis,inflammation of the liver,"treatment for hepatitis may include medication,rest,lifestyle changes",gastroenterologist,varies depending on the type of hepatitis%
herpes,"sexually transmitted infection that can cause blisters on the genitals,mouth,other parts of the body","there is no cure for herpes,but there are treatments that can help manage the symptoms","urologist,gynecologist",high (70%)%
influenza,"fever,cough,sore throat,runny or stuffy nose,muscle aches,headache,fatigue","over-the-counter medications,rest,fluids","family doctor,urgent care",low (0.1%)%
irritable bowel syndrome (ibs),"abdominal pain,bloating,constipation,diarrhea","treatment for ibs may include diet,lifestyle changes,medication"," family doctor,gastroenterologist",varies%
kidney stones ,"pain in the lower back or side,nausea,vomiting,blood in the urine",surgery,urologist,high (20%)%
lung cancer,"cough that does not go away,shortness of breath,chest pain,unexplained weight loss,fatigue,blood in the sputum","surgery,chemotherapy,radiation therapy",oncologist,high (70%)%
malaria,"fever,chills,sweating,headache,muscle aches,fatigue,vomiting,diarrhea",antimalarial drugs,"family doctor,urgent care",high (20%)%
measles,"fever,cough,runny nose,red eyes,sore throat,rash",measles vaccine,"family doctor,urgent care",high (70%)%
meningitis,"fever,headache,stiff neck,nausea,vomiting,sensitivity to light",antibiotics,"neurologist,neurosurgeon",high (20%)%
mononucleosis,"fever,sore throat,fatigue,swollen lymph nodes,rash","there is no cure for mononucleosis,but symptoms can be treated with rest,fluids,over-the-counter medications","family doctor,urgent care",low (0.1%)%
pneumonia,"fever,cough,shortness of breath,chest pain,fatigue",antibiotics,"family doctor,pulmonologist",moderate (1%
rabies,"fever,headache,muscle aches,tingling at the bite site,difficulty swallowing,hydrophobia,aerophobia",rabies vaccine,"doctor,urgent care",high (70%)%
salmonella,"fever,diarrhea,abdominal cramps,nausea,vomiting",antibiotics,"family doctor,urgent care ",low (0.1%)%
shingles,painful rash that follows nerve path,antiviral medication,"family doctor,dermatologist ",low (0.1%)%
tuberculosis (tb),"cough that does not go away,fever,night sweats,weight loss,fatigue,chest pain",antibiotics,"family doctor,pulmonologist",high (20%)%
urinary tract infection (uti),"painful urination,burning,frequent urination,urgency to urinate,blood in the urine",antibiotics,urologist,low (0.1%)%
varicose veins,"swollen,twisted veins,usually in the legs","surgery,compression stockings,lifestyle changes",vascular surgeon,varies%
warts ,"raised,rough growths on the skin","over-the-counter medications,prescription medications,cryotherapy,laser therapy",dermatologist,low (0.1%)%
yeast infection,"itching,burning,discharge from the vaginor penis","over-the-counter medications,prescription medications","urologist,gynecologist",low (0.1%)%
acanthamoebkeratitis,"pain,redness,inflammation in the eye","antibiotics,antifungals,surgery",ophthalmologist ,low (0.1%
acute appendicitis,"pain in the lower right abdomen,nausea,vomiting,fever",appendectomy,surgeon,high (20%)%
acute kidney injury (aki) ,decreased kidney function,"treatment for the underlying cause,such as dehydration,infection,medication side effect ",nephrologist ,varies%
alzheimer's disease,"memory loss,confusion,difficulty thinking,changes in personality or behavior","there is no cure for alzheimer's disease,but there are treatments that can help manage the symptoms ",neurologist,high (70%)%
anemia,"fatigue,shortness of breath,pale skin,lightheadedness,dizziness","treatment for anemidepends on the type of anemia,but may include medication,blood transfusions,surgery",hematologist,varies depending on the type of anemia%
aortic aneurysm,"bulge in the wall of the aorta,the largest artery in the body",surgery,vascular surgeon,high (20%)%
bacterial meningitis ,"fever,headache,stiff neck,nausea,vomiting,sensitivity to light",antibiotics,"neurologist,neurosurgeon",high (20%)%
bipolar disorder,"extreme mood swings,from manito depression","treatment for bipolar disorder may include medication,therapy,combination of both","psychologist,psychiatrist",varies%
cervical cancer ,"abnormal pap test results,abnormal vaginal bleeding,pain during sex","surgery,chemotherapy,radiation therapy",gynecologist ,high (70%)%
colorectal cancer,"change in bowel habits,such as diarrhea,constipation,narrowing of the stool,blood in the stool,abdominal pain,unexplained weight loss","surgery,chemotherapy,radiation therapy",gastroenterologist,high (70%)%
dementia,"memory loss,confusion,difficulty thinking,changes in personality or behavior","there is no cure for dementia,but there are treatments that can help manage the symptoms",neurologist ,varies%
erectile dysfunction,"difficulty getting,keeping an erection ","medication,lifestyle changes,surgery ",urologist,varies%
fibromyalgi,"widespread pain,fatigue,tenderness","medication,lifestyle changes ",rheumatologist ,varies%
glaucoma,"increased pressure in the eye that can damage the optic nerve,lead to vision loss","medication,surgery ", ophthalmologist,varies%
heart failure,condition in which the heart cannot pump blood as well as it should,"medication,lifestyle changes,surgery",cardiologist,high (20%)%
kidney disease,damage to the kidneys that can lead to kidney failure,"treatment for the underlying cause,such as high blood pressure,diabetes,an infection",nephrologist,varies%
lung disease,"condition that affects the lungs,can make it difficult to breathe","treatment for the underlying cause,such as asthma,chronic obstructive pulmonary disease (copd),pneumonia",pulmonologist,varies%
parkinson's disease,"tremors,slow movement,stiffness,difficulty with balance,coordination "," medication,lifestyle changes",neurologist ,varies%
peptic ulcer disease ,"pain in the upper abdomen,indigestion,nausea,vomiting","medication,lifestyle changes,surgery ",gastroenterologist,varies%
peripheral artery disease,"pain,numbness,tingling in the arms or legs","medication,lifestyle changes,surgery",vascular surgeon,varies%
pneumonia,"fever,cough,shortness of breath,chest pain,fatigue",antibiotics,"family doctor,pulmonologist",moderate (1%)%
prostate cancer,"difficulty urinating,blood in the urine,pain in the back or hips,erectile dysfunction"," surgery,radiation therapy,hormone therapy",urologist,high (70%)%
rheumatoid arthritis,"pain,swelling,stiffness in the joints","medication,lifestyle changes",rheumatologist,varies%
stroke,"sudden weakness,numbness on one side of the body,difficulty speaking,confusion,trouble seeing in one eye,severe headache","treatment for the underlying cause,such as clot-busting medication,surgery","neurologist,neurosurgeon",high (20%)%
stomach cancer,"pain in the upper abdomen,indigestion,nausea,vomiting,weight loss","surgery,chemotherapy,radiation therapy",gastroenterologist ,high (70%)%
thyroid cancer,"lump in the neck,hoarseness,fatigue,weight loss,unexplained heat intolerance,sensitivity to cold","surgery,radiation therapy,hormone therapy",endocrinologist,high (70%)%
ulcerative colitis,"diarrhea,bloody stool,abdominal pain,weight loss","medication,surgery",gastroenterologist ,varies%
warts,"raised,rough growths on the skin","over-the-counter medications,prescription medications,cryotherapy,laser therapy", dermatologist,low (0.1%)%
atopic dermatitis,"itchy,red,inflamed skin","medication,lifestyle changes", dermatologist,varies%
celiac disease,"diarrhea,bloating,weight loss,fatigue,abdominal pain",gluten-free diet,gastroenterologist,varies%
chronic kidney disease,"fatigue,shortness of breath,swelling,high blood pressure,changes in urination","treatment for the underlying cause,such as high blood pressure,diabetes,an infection",nephrologist,varies%
crohn's disease,"diarrhea,bloody stool,abdominal pain,weight loss","medication,surgery",gastroenterologist,varies%
epilepsy ,seizures,"medication,surgery",neurologist,varies%
fibromyalgia,"widespread pain,fatigue,tenderness","medication,lifestyle changes",rheumatologist,varies%
graves' disease,"hyperthyroidism,which is an overactive thyroid","medication,surgery",endocrinologist,varies%
hashimoto's thyroiditis ,"hypothyroidism,which is an underactive thyroid ",medication,endocrinologist,varies%
lupus,chronic autoimmune disease that can affect any part of the body,"medication,lifestyle changes",rheumatologist ,varies%
hypertension,"headache,blurred vision,chest pain,fatigue","lifestyle changes,antihypertensive medications",cardiologist,moderate (10%)
migraine,"headache,nausea,vomiting,sensitivity to light and sound","pain relievers,rest,avoiding triggers",neurologist,low (5%)
diabetes,"frequent urination,excessive thirst,unexplained weight loss,fatigue","insulin,oral medications,lifestyle management",endocrinologist,high (25%)
asthma,"shortness of breath,coughing,wheezing,chest tightness","bronchodilators,inhaled corticosteroids",pulmonologist,moderate (15%)
arthritis,"joint pain,stiffness,swelling,decreased range of motion","anti-inflammatory medications,physical therapy",rheumatologist,low (10%)
common cold,"runny nose,sore throat,cough,congestion","rest,fluids,over-the-counter medications",family doctor,low (1%)
tuberculosis,"cough lasting weeks,weight loss,fever,night sweats",antibiotics for several months,infectious disease specialist,high (30%)
covid-19,"fever,cough,shortness of breath,fatigue,loss of taste and smell","supportive care,antiviral drugs,oxygen therapy",infectious disease specialist,high (20%)
obesity,"excessive weight gain,difficulty breathing,joint pain,fatigue","dietary changes,exercise,surgery in severe cases",nutritionist,moderate (15%)
anemia,"fatigue,paleness,shortness of breath,irregular heartbeat","iron supplements,diet changes,blood transfusion",hematologist,low (5%)
malaria,"abdominal pain,vomiting,nausea","therapy,lifestyle changes",gastroenterologist,low (5%)
liver cirrhosis,"joint pain,swelling,fatigue","pain relievers,oxygen support",neurologist,severe (30%)
liver cirrhosis,"anxiety,depression,restlessness","pain relievers,oxygen support",psychiatrist,high (20%)
cholera,"abdominal pain,vomiting,nausea","antibiotics,IV fluids",psychiatrist,low (5%)
kidney stones,"anxiety,depression,restlessness","rest,fluids,medications",psychiatrist,severe (30%)
HIV/AIDS,"fever,headache,fatigue","surgery,medications",dermatologist,moderate (10%)
liver cirrhosis,"chest pain,shortness of breath","therapy,lifestyle changes",dermatologist,severe (30%)
kidney stones,"cough,runny nose,sore throat","therapy,lifestyle changes",psychiatrist,severe (30%)
tonsillitis,"skin rash,itching,blisters","surgery,medications",cardiologist,severe (30%)
pancreatitis,"weight loss,night sweats,chills","rest,fluids,medications",neurologist,moderate (10%)
epilepsy,"chest pain,shortness of breath","rest,fluids,medications",dermatologist,moderate (10%)
measles,"abdominal pain,vomiting,nausea","rest,fluids,medications",infectious disease specialist,severe (30%)
pancreatitis,"joint pain,swelling,fatigue","surgery,medications",cardiologist,moderate (10%)
eczema,"abdominal pain,vomiting,nausea","antibiotics,IV fluids",neurologist,moderate (10%)
tonsillitis,"anxiety,depression,restlessness","mental health counseling,medications",gastroenterologist,high (20%)
chickenpox,"chest pain,shortness of breath","mental health counseling,medications",psychiatrist,severe (30%)
ulcer,"chest pain,shortness of breath","pain relievers,oxygen support",cardiologist,low (5%)
chickenpox,"anxiety,depression,restlessness","therapy,lifestyle changes",neurologist,low (5%)
chickenpox,"fever,headache,fatigue","antibiotics,IV fluids",neurologist,high (20%)
urinary tract infection,"anxiety,depression,restlessness","pain relievers,oxygen support",psychiatrist,high (20%)
gastritis,"cough,runny nose,sore throat","rest,fluids,medications",family doctor,severe (30%)
sinusitis,"cough,runny nose,sore throat","therapy,lifestyle changes",psychiatrist,low (5%)
gastritis,"joint pain,swelling,fatigue","surgery,medications",neurologist,severe (30%)
ulcer,"anxiety,depression,restlessness","therapy,lifestyle changes",neurologist,high (20%)
liver cirrhosis,"joint pain,swelling,fatigue","antibiotics,IV fluids",neurologist,severe (30%)
tonsillitis,"chest pain,shortness of breath","rest,fluids,medications",neurologist,low (5%)
kidney stones,"anxiety,depression,restlessness","mental health counseling,medications",dermatologist,severe (30%)
eczema,"joint pain,swelling,fatigue","rest,fluids,medications",neurologist,moderate (10%)
parkinson's disease,"joint pain,swelling,fatigue","rest,fluids,medications",infectious disease specialist,low (5%)
parkinson's disease,"skin rash,itching,blisters","antibiotics,IV fluids",neurologist,low (5%)
measles,"weight loss,night sweats,chills","pain relievers,oxygen support",family doctor,moderate (10%)
sinusitis,"anxiety,depression,restlessness","therapy,lifestyle changes",family doctor,moderate (10%)
jaundice,"chest pain,shortness of breath","pain relievers,oxygen support",dermatologist,low (5%)
sinusitis,"fever,headache,fatigue","mental health counseling,medications",cardiologist,high (20%)
urinary tract infection,"skin rash,itching,blisters","surgery,medications",neurologist,severe (30%)
pancreatitis,"joint pain,swelling,fatigue","therapy,lifestyle changes",neurologist,high (20%)
urinary tract infection,"joint pain,swelling,fatigue","therapy,lifestyle changes",psychiatrist,severe (30%)
HIV/AIDS,"anxiety,depression,restlessness","antibiotics,IV fluids",neurologist,high (20%)
ulcer,"cough,runny nose,sore throat","pain relievers,oxygen support",family doctor,severe (30%)
chickenpox,"cough,runny nose,sore throat","mental health counseling,medications",dermatologist,severe (30%)
acute kidney injury (aki) ,"tingling at the bite site,severe headache,pain in the lower abdomen,frequent urination,pain or burning when urinating","pneumonia,diet","addiction specialist,neurologist",high (20%)
gallstones,"cough lasting weeks,red eyes,tingling at the bite site,inflammation in bursa,vomiting,twisted veins,bulge in the wall of the aorta","there is no cure for dementia,oxygen support,pneumonia",gynecologist,low (0.1%)
hepatitis,"shortness of breath,impaired judgment,slow movement,disturbance in eating behavior that can lead to serious health problems","measles vaccine,infection,allergy shots","infectious disease specialist,pulmonologist",high (20%)
bronchitis,"joint pain,difficulty speaking,unexplained bleeding or discharge,coughing up blood,sexually transmitted infection that can cause blisters on the genitals,the largest artery in the body","treatment for the underlying cause,diet changes,diet","surgeon,urgent care",moderate (1%)
warts ,"inflammation in the joints,erectile dysfunction,narrowing of the stool","oral medications,,an infection","nutritionist,urgent care",high (15%)
eating disorder,"tingling at the bite site,discharge from the penis or vagina,difficulty swallowing,painful urination,decreased range of motion,difficulty urinating,cough lasting weeks","emergency medical services,over-the-counter medications,anti-inflammatory medications",psychiatrist,low (0.5%)
warts ,"constipation,pain during sex,watery stools","combination of both,inhaled corticosteroids,insulin",endocrinologist,high (15%)
meningitis,"bloody stool,tremors,repetitive behaviors,sensitivity to light","oral medications,antibiotics,oxygen therapy,there is no cure for asperger syndrome","oncologist,psychiatrist",low (0.1%)
heart failure,"rough growths on the skin,itchy eyes,stiff neck,inflammation in the eye,abdominal cramps,decreased kidney function,tingling in the arms or legs","measles vaccine,IV fluids","ophthalmologist,orthopedist",high (15%)
conjunctivitis,"rash,usually in the legs,damage to the kidneys that can lead to kidney failure,irregular heartbeat,pain in the lower back or side,decreased range of motion","treatment for depression may include medication,medications,rabies vaccine",rheumatologist,high (15%)
lung cancer,"stiff neck,abdominal pain,congestion,cough","chemotherapy,there is no cure for alzheimer's disease","pulmonologist,dermatologist",high (20%)
cervical cancer,"chest tightness,mouth,headache,increased pressure in the eye that can damage the optic nerve,pain","pneumonia,treatment for the underlying cause,support groups",pulmonologist,high (20%)
lung cancer,"hoarseness,hydrophobia,joint pain,memory problems,diarrhea,pain,which is small sac of fluid that cushions joints","prescription medications,treatment for the underlying cause,antibiotics",nutritionist,high (20%)
acanthamoebkeratitis,"keeping an erection,sensitivity to cold,bladder habits","compression,treatment for anemidepends on the type of anemia,antibiotics",psychologist,low (0.1%)
gallstones,"pain in the upper abdomen,cancer,condition that affects the lungs,skin rash,sleep,the largest artery in the body","treatment for alcoholism may include counseling,gluten-free diet","gynecologist,hematologist",high (15%)
aortic aneurysm,"cough lasting weeks,increased thirst,urgency to urinate","allergy shots,oxygen support,surgery in severe cases,support groups",orthopedist,moderate (1%)
shingles,"sudden weakness,stiff neck,sensitivity to cold,raised,decreased kidney function","diet,rest,dietary changes","pulmonologist,endocrinologist",low (0.5%)
bacterial meningitis ,"change in bowel habits,difficulty getting,sexually transmitted infection that can cause burning during urination,cough that does not go away,the largest artery in the body","inhaled corticosteroids,antibiotics for several months,compression stockings,compression",doctor,low (0.5%)
asperger syndrome,"nausea,hyperthyroidism,discharge from the penis or vagina,cough that does not go away,incontinence,runny or stuffy nose,can make it difficult to breathe","oxygen therapy,oral medications,lifestyle changes",orthopedist,moderate (1%)
erectile dysfunction,"excessive weight gain,stiff neck,indigestion,vomiting,shortness of breath","infection,treatment for hepatitis may include medication,treatment for alcoholism may include counseling","urologist,surgeon",high (20%)
liver cirrhosis,"red,restlessness,sexually transmitted infection that can cause blisters on the genitals,keeping an erection,tenderness in the affected area,decreased range of motion","diet changes,infection,but symptoms can be treated with rest","nutritionist,hematologist",high (20%)
rheumatoid arthritis,"confusion,urgency to urinate,discharge from the vaginor penis,difficulty breathing,condition that affects the lungs,changes in urination,congestion","lifestyle management,there is no cure for dementia,emergency medical services","orthopedist,vascular surgeon",high (20%)
liver cirrhosis,"inflammation of the liver,which is small sac of fluid that cushions joints,impaired judgment,shortness of breath,sadness","treatment for copd may include medication,but treatment may include supportive care,there is no cure for aflatoxicosis,treatment for bipolar disorder may include medication","ophthalmologist,gynecologist",high (20%)
asperger syndrome,"erectile dysfunction,difficulty swallowing,coordination,stiffness","over-the-counter medications,,treatment for copd may include medication",family doctor,high (20%)
chronic obstructive pulmonary disease (copd),"repetitive behaviors,blood in the urine,lump,rough growths on the skin,fainting","treatment for anxiety disorders may include therapy,insulin,IV fluids",addiction specialist,low (0.1%)
meningitis,"anxiety,hopelessness,coordination,memory loss","medication,chronic obstructive pulmonary disease (copd),chemotherapy","hematologist,endocrinologist",low (0.5%)
urinary tract infection,"swelling,mouth,difficulty breathing,palate,emphysema,stiffness in the joints,high blood pressure","diet,treatment for copd may include medication,cryotherapy","orthopedist,oncologist",high (15%)
peptic ulcer disease ,"sensitivity to cold,sexually transmitted infection that can cause blisters on the genitals,change in bowel habits,abnormal vaginal bleeding","gluten-free diet,diet,there is no cure for asperger syndrome,chemotherapy","vascular surgeon,psychiatrist",high (15%)
tuberculosis,"bloody stool,seizures,widespread pain,sneezing","treatment for eating disorders may include therapy,treatment for copd may include medication,treatment for alcoholism may include counseling","addiction specialist,vascular surgeon",high (20%)
bronchitis,"hoarseness,memory loss,shortness of breath,hopelessness,seizures,such as diarrhea","blood transfusions,surgery","urologist,vascular surgeon",low (0.1%)
diarrhea,"elevated body temperature,inflammation of the liver,emphysema,tolerance to alcohol","treatment for asthmmay include medication,oxygen support","rheumatologist,dermatologist",high (15%)
asperger syndrome,"headache,energy levels,throat,sexually transmitted infection that can cause blisters on the genitals,indigestion,heart disease,wheezing","oxygen therapy,surgery","dermatologist,neurologist",high (15%)
malaria,"bloody stool,pain,palate,mouth,lump,inflamed skin,sexually transmitted infection that can cause blisters on the genitals","antibiotics,combination of both,hormone therapy,insulin",neurosurgeon,low (0.1%)
rabies,"abdominal cramps,heart disease,seizures,cancer","prescription medications,treatment for heart disease may include medication,such as high blood pressure",allergist,moderate (1%)
bipolar disorder,"red,runny or stuffy nose,cough lasting weeks,pain in the lower back or side,hydrophobia","supportive care,an infection,antifungals,treatment for blood clot may include medication","cardiologist,gastroenterologist",high (20%)
lung cancer,"red,excessive weight gain,trouble seeing in one eye","exercise,medications,chronic obstructive pulmonary disease (copd)",endocrinologist,moderate (1%)
measles,"hyperthyroidism,runny nose,liver damage,runny or stuffy nose,weight loss,hopelessness","such as asthma,therapy","neurologist,neurosurgeon",moderate (1%)
salmonella,"difficulty with balance,discharge from the penis or vagina,restricted interests","allergy shots,treatment for asthmmay include medication,fluids","orthopedist,urgent care",high (15%)
thyroid cancer,"erectile dysfunction,loss of taste and smell,aerophobia,restricted interests,changes in urination,blurred vision","compression,blood transfusions,support groups","gynecologist,doctor",high (15%)
mononucleosis,"sensitivity to light and sound,wheezing,which is an underactive thyroid,coughing","diet changes,therapy","nephrologist,ophthalmologist",low (0.5%)
covid-19,"which is an underactive thyroid,pain in the lower abdomen,pain,warmth,cough","blood transfusion,treatment for asthmmay include medication,insulin,combination of both",doctor,low (0.1%)
acute appendicitis,"fatigue,painful rash that follows nerve path,high levels of cholesterol in the blood,difficulty with balance,rough growths on the skin,runny or stuffy nose","antifungals,over-the-counter medications,antibiotics for several months",addiction specialist,high (15%)
alzheimer's disease,"throat,sensitivity to cold,night sweats,chronic autoimmune disease that can affect any part of the body","infection,radiation therapy,blood transfusions","urologist,vascular surgeon",low (0.5%)
glaucoma,"severe headache,death,difficulty with social interaction,urgency to urinate,change in bowel habits","diet changes,treatment for asthmmay include medication,lifestyle changes",psychiatrist,low (0.1%)
epilepsy,"tenderness in the affected area,pain,abnormal vaginal bleeding,heart disease,usually in the legs,watery eyes,itching","but treatment may include supportive care,such as high blood pressure","psychologist,neurosurgeon",moderate (1%)
celiac disease,"mouth,excessive weight gain,sensitivity to light","rabies vaccine,chemotherapy","doctor,pulmonologist",high (15%)
lung disease,"throat,difficulty breathing,stiffness in the joints,inflammation of the liver","combination of both,emergency medical services,there is no cure for dementia,blood transfusions",urologist,high (20%)
ulcerative colitis,"watery stools,damage to the kidneys that can lead to kidney failure,restlessness,irregular heartbeat","there is no cure for aflatoxicosis,oral medications,avoiding triggers,such as high blood pressure",neurologist,low (0.5%)
rabies,"difficulty with balance,throat,difficulty urinating,trouble seeing in one eye,mouth,sensitivity to light,watery eyes","prescription medications,diet,antihypertensive medications,an infection",gastroenterologist,moderate (1%)
diabetes,"changes in urination,blisters,abnormal pap test results,blood in the stool,loss of taste and smell","lifestyle changes,oral medications","urgent care,family doctor",low (0.5%)
epilepsy,"confusion,hypothyroidism,itching,which is an underactive thyroid","medication,but symptoms can be treated with rest,oral medications","rheumatologist,ophthalmologist",moderate (1%)
gallstones,"difficulty urinating,difficulty swallowing,incontinence,disturbance in eating behavior that can lead to serious health problems","measles vaccine,avoiding triggers,such as high blood pressure",pulmonologist,low (0.5%)
common cold,"unexplained weight loss,cough,inflammation in the joints","treatment for hepatitis may include medication,treatment for anemidepends on the type of anemia,such as high blood pressure","doctor,hematologist",high (15%)
warts,"jaundice,sweating,blood in the stool,hyperthyroidism,sadness","fluids,dietary changes,treatment for copd may include medication","addiction specialist,doctor",low (0.1%)
acute appendicitis,"abnormal pap test results,pain in the upper right abdomen,indigestion,urgency to urinate","surgery in severe cases,there is no cure for dementia,antiviral medication",psychiatrist,low (0.1%)
rabies,"numbness,fever,changes in bowel,excessive weight gain,diarrhea,difficulty thinking","bronchodilators,medication side effect",cardiologist,moderate (1%)
heart failure,"fainting,elevated body temperature,energy levels,palate,dizziness,narrowing of the stool","dietary changes,avoiding triggers",rheumatologist,low (0.5%)
diabetes,"unexplained bleeding or discharge,keeping an erection,withdrawal symptoms,tolerance to alcohol,muscle aches,stiffness","treatment for hepatitis may include medication,cryotherapy,lifestyle management,but treatment may include supportive care",pulmonologist,high (15%)
gonorrhea,"excessive weight gain,difficulty getting,pink eye,changes in appetite,changes in urination","mental health counseling,there is no cure for alzheimer's disease,medication,therapy","psychologist,oncologist",high (15%)
graves' disease,"tingling in the arms or legs,unexplained weight loss,tingling at the bite site,fainting","surgery in severe cases,over-the-counter medications",infectious disease specialist,low (0.1%)
